bioguide_id,congress,introduced_date,number,title,type
S000929,117,2022-09-29,9080,Non-Profit Hospital Tax Exemption Transparency Act,HR
S000929,117,2022-06-16,8134,Consumer Choice of Care Act,HR
S000929,117,2022-06-16,8131,Increasing Competition for Medical Residency Act,HR
S000929,117,2022-06-16,8135,Addressing Anti-Competitive Contracting Clauses Act,HR
S000929,117,2022-06-16,8130,Competition in State Healthcare Markets Act,HR
S000929,117,2022-06-16,8129,Oversight of Anti-Competitive Behavior of Non-Profit Hospitals Act,HR
S000929,117,2022-06-16,8132,Flexibility in Hospital Ownership Act,HR
S000929,117,2022-06-16,8133,Transparency of Hospital Billing Act,HR
S000929,117,2022-06-15,8092,Right to Trial Act,HR
S000929,117,2022-04-06,1038,"Expressing the sense of the House of Representatives condemning the Russian Federation, President Vladimir Putin, members of the Russian Security Council, the Russian Armed Forces, and Russian military commanders for committing atrocities, including alleged war crimes, against the people of Ukraine and others.",HRES
S000929,117,2022-03-15,7075,Ukrainian Independence Park Act of 2022,HR
S000929,117,2022-03-07,963,"Expressing the sense of the House of Representatives condemning the Russian Federation, President Vladimir Putin, members of the Russian Security Council, the Russian Armed Forces, and Russian military commanders for committing flagrant acts of aggression and other atrocities rising to the level of crimes against humanity and war crimes against the people of Ukraine and others.",HRES
S000929,117,2021-06-08,3797,Increasing Access to Safe Child Care Facilities Act of 2021,HR
S000929,117,2021-04-20,2708,Sunshine for Regulatory Decrees and Settlements Act of 2021,HR
S000168,118,2023-03-30,2447,Panama Canal Zone Veterans Act of 2023,HR
S000168,118,2023-02-09,950,REEF Act,HR
S000168,118,2023-01-26,537,Forgotten Heroes of the Holocaust Congressional Gold Medal Act,HR
S000168,118,2023-01-25,9,Denouncing the horrors of socialism.,HCONRES
S000168,118,2023-01-12,314,FORCE Act,HR
S000168,117,2022-10-07,9141,Visitor Visa Wait Time Reduction Act,HR
S000168,117,2022-09-22,8977,Youth Coastal Fishing Program Act of 2022,HR
S000168,117,2022-05-19,7833,Stiltsville Restoration Act,HR
S000168,117,2022-04-28,7635,INVESTIGAR Act,HR
S000168,117,2022-03-31,7346,John W. Walsh Alpha-1 Home Infusion Act of 2022,HR
S000168,117,2022-03-16,988,"Calling for justice and accountability for the perpetrators of the bombing of the Embassy of Israel in Buenos Aires on March 17, 1992.",HRES
S000168,117,2022-02-08,6637,DIGNIDAD (Dignity) Act,HR
S000168,117,2022-02-03,6597,Blockchain Solutions for Small Businesses Act,HR
S000168,117,2021-12-09,6237,No FARC Act,HR
S000168,117,2021-12-02,6136,HELP Act of 2021,HR
S000168,117,2021-12-02,6123,Crucial Communism Teaching Act,HR
S000168,117,2021-10-28,5788,SERVICE Act of 2021,HR
S000168,117,2021-09-21,5306,REEF Act,HR
S000168,117,2021-08-27,5123,American Freedom and Internet Access Act of 2021,HR
S000168,117,2021-07-21,548,Denouncing the horrors of socialism.,HRES
S000168,117,2021-06-29,4215,Rebuilding Communities After Disasters Act,HR
S000168,117,2021-06-17,3964,Nicaragua Free Trade Review Act of 2021,HR
S000168,117,2021-05-14,3236,AMIGOS Act,HR
S000168,117,2021-05-07,3065,Expanding Contracting Opportunities for Small Businesses Act of 2021,HR
S000168,117,2021-04-15,2554,CRUISE Act,HR
S000168,117,2021-03-03,1533,COVID Economic Injury Disaster Loan Relief Act,HR
S000168,117,2021-01-13,287,FORCE Act,HR
R000305,118,2023-04-10,2572,Supporting Women COPS Act of 2023,HR
R000305,118,2023-03-01,1327,Defend our Coast Act,HR
R000305,118,2023-01-26,,,
R000305,118,2023-01-11,302,"To direct the Secretary of Energy to provide financial assistance to graduate students and postdoctoral researchers pursuing certain courses of study relating to cybersecurity and energy infrastructure, and for other purposes.",HR
R000305,117,2022-10-25,9235,Supporting Women COPS Act of 2022,HR
R000305,117,2022-08-09,8697,Unleashing American Innovators Act of 2022,HR
R000305,117,2022-07-14,,,
R000305,117,2022-06-21,1191,"Providing for consideration of the bill (H.R. 4176) to improve Federal population surveys by requiring the collection of voluntary, self-disclosed information on sexual orientation and gender identity in certain surveys, and for other purposes; providing for consideration of the bill (H.R. 5585) to establish the Advanced Research Projects Agency-Health, and for other purposes; providing for consideration of the bill (H.R. 7666) to amend the Public Health Service Act to reauthorize certain programs relating to mental health and substance use disorders, and for other purposes; and for other purposes.",HRES
R000305,117,2022-06-14,8061,Eliminating Limits to Justice for Child Sex Abuse Victims Act of 2022,HR
R000305,117,2022-04-25,7569,Energy Cybersecurity University Leadership Act of 2022,HR
R000305,117,2022-03-03,,,
R000305,117,2022-02-15,6749,Clean Slate through Repayment Act of 2022,HR
R000305,117,2022-02-02,,,
R000305,117,2022-02-02,900,"Providing for consideration of the bill (H.R. 3485) to impose sanctions on foreign persons responsible for violations of internationally recognized human rights against lesbian, gay, bisexual, transgender, queer and intersex (LGBTQI) individuals, and for other purposes; providing for consideration of the bill (H.R. 4445) to amend title 9 of the United States Code with respect to arbitration of disputes involving sexual assault and sexual harassment; providing for consideration of the bill (H.R. 4521) to provide for a coordinated Federal research initiative to ensure continued United States leadership in engineering biology; and for other purposes.",HRES
R000305,117,2022-02-01,6550,End Prison Gerrymandering Act,HR
R000305,117,2022-01-12,,,
R000305,117,2021-11-16,5987,PFAS Definition Improvement Act,HR
R000305,117,2021-11-09,788,"Expressing support for the designation of November 10 as ""National Science Day"".",HRES
R000305,117,2021-10-25,5720,Courthouse Ethics and Transparency Act,HR
R000305,117,2021-10-22,,,
R000305,117,2021-07-01,4331,America’s Cultivation of Hope and Inclusion for Long-term Dependents Raised and Educated Natively Act of 2021,HR
R000305,117,2021-10-05,5501,Ransom Disclosure Act,HR
R000305,117,2021-09-21,667,"Providing for consideration of the bill (H.R. 3755) to protect a person's ability to determine whether to continue or end a pregnancy, and to protect a health care provider's ability to provide abortion services; providing for consideration of the bill (H.R. 4350) to authorize appropriations for fiscal year 2022 for military activities of the Department of Defense and for military construction, to prescribe military personnel strengths for such fiscal year, and for other purposes; providing for consideration of the bill (H.R. 5305) making continuing appropriations for the fiscal year ending September 30, 2022, and for providing emergency assistance, and for other purposes; and for other purposes.",HRES
