bioguide_id,congress,introduced_date,number,title,type
G000599,118,2023-03-03,1349,African Burial Ground International Memorial Museum and Educational Center Act,HR
G000599,118,2023-03-01,1295,Early Voting Act,HR
G000599,118,2023-01-26,,,
G000598,118,2023-03-28,1833,International Human Rights Defense Act of 2023,HR
G000598,118,2023-02-09,114,In the matter of George Santos.,HRES
G000598,118,2023-01-26,,,
F000478,118,2023-04-10,2553,No More Political Prosecutions Act,HR
F000476,118,2023-03-22,1699,Office of Gun Violence Prevention Act of 2023,HR
E000235,118,2023-01-26,63,"Honoring the lives of two fallen Mississippi police officers, Sergeant Steven Robin and Officer Branden Estorffe, and expressing condolences to their families.",HRES
E000246,118,2023-04-10,2551,"To amend the Intermodal Surface Transportation Efficiency Act of 1991 to designate a portion of United States Route 74 in North Carolina as a future interstate, and for other purposes.",HR
E000246,118,2023-01-20,413,TOTS Act,HR
D000632,118,2023-04-10,285,"Establishing a ""Bill of Rights"" to support United States law enforcement personnel nationwide in their work to protect our communities.",HRES
D000632,118,2023-03-07,201,No Fame for Fraud Resolution,HRES
D000632,118,2023-03-07,1391,No Fortune for Fraud Act,HR
D000530,118,2023-03-21,1674,Railway Safety Act of 2023,HR
D000530,118,2023-03-08,1447,Striking and Locked Out Workers Healthcare Protection Act,HR
D000530,118,2023-02-28,1238,Decreasing Emergency Railroad Accident Instances Locally Act,HR
D000594,118,2023-03-30,2420,Cattle Fever Tick Eradication Program Enhancement Act,HR
D000594,118,2023-03-10,1542,Mayorkas Must Fly Coach Until We Secure the Border Act,HR
D000594,118,2023-02-17,1076,Preventing the Financing of Illegal Synthetic Drugs Act,HR
D000594,118,2023-02-01,714,Feral Swine Act,HR
D000594,118,2023-01-20,412,"To designate the facility of the United States Postal Service located at 620 East Pecan Boulevard in McAllen, Texas, as the ""Agent Raul H. Gonzalez Jr. Memorial Post Office"".",HR
D000230,118,2023-03-22,1697,Promoting Precision Agriculture Act of 2023,HR
D000230,118,2023-02-28,1237,Sarah Keys Evans Congressional Gold Medal Act,HR
D000230,118,2023-02-10,122,Expressing support for States to expand Medicaid under the Affordable Care Act to close the Medicaid coverage gap.,HRES
C001132,118,2023-04-03,2461,San Juan Southern Paiute Tribal Homelands Act of 2023,HR
C001132,118,2023-03-28,1829,"To require the Secretary of Agriculture to convey the Pleasant Valley Ranger District Administrative Site to Gila County, Arizona.",HR
C001132,118,2023-03-23,,,
C001129,118,2023-03-28,1818,Aviation Workforce Development Act,HR
C001129,118,2023-03-23,1734,TRANQ Research Act,HR
C001133,118,2023-03-21,1669,VET–TEC Authorization Act of 2023,HR
C001133,118,2023-03-09,1479,"To establish the Chiricahua National Park in the State of Arizona as a unit of the National Park System, and for other purposes.",HR
C001133,118,2023-03-07,1378,Veterans’ Appeals Backlog Improvement Act,HR
C001134,118,2023-04-17,2645,Keeping Families Fed Act of 2023,HR
B001316,118,2023-01-24,450,Repeal the NFA Act,HR
B001315,118,2023-03-30,2415,Springfield Race Riot National Historic Monument Act,HR
B001315,118,2023-03-10,1536,LEAP Act,HR
B001314,118,2023-04-20,2744,"To require that the Federal Government procure from the private sector the goods and services necessary for the operations and management of certain Government agencies, and for other purposes.",HR
B001318,118,2023-04-17,2642,"To amend the Public Health Service Act to authorize the Secretary of Health and Human Services, acting through the Assistant Secretary for Mental Health and Substance Use, to award grants for peer mental health first aid, and for other purposes.",HR
B001318,118,2023-02-17,1063,Nulhegan River and Paul Stream Wild and Scenic River Study Act of 2023,HR
A000379,118,2023-03-24,1774,VA Emergency Transportation Act,HR
A000379,118,2023-03-21,235,"Expressing support for the designation of March 21, 2023, as ""National Agriculture Day"" and celebrating the importance of agriculture as one of the most impactful industries in the United States.",HRES
A000379,118,2023-02-24,1168,School Lunch Affordability Act of 2023,HR
A000379,118,2023-01-26,530,A–PLUS Act,HR
S001218,118,2023-02-27,1221,Buffalo Tract Protection Act,HR
S001218,117,2022-10-11,9173,Colorado River Basin Conservation Act,HR
S001218,117,2022-07-29,8630,"To designate the facility of the United States Postal Service located at 400 North Main Street in Belen, New Mexico, as the ""U.S. Senator Dennis Chávez Post Office"".",HR
S001218,117,2022-05-17,7792,Water Data Act,HR
S001218,117,2022-05-17,7793,Rio Grande Water Security Act,HR
S001218,117,2022-03-17,7141,College Completion Fund Act of 2022,HR
S001218,117,2021-12-14,6289,To provide the consent of Congress to an amendment to the Constitution of the State of New Mexico.,HR
S001218,117,2021-12-09,6238,WaterSMART Access for Tribes Act,HR
S001218,117,2021-11-01,5805,Buffalo Tract Protection Act,HR
S001218,117,2021-07-30,4863,Partnerships for Energy Security and Innovation Act,HR
N000192,117,2022-11-17,1488,Supporting the goals and principles of Transgender Day of Remembrance by recognizing the epidemic of violence toward transgender people and memorializing the lives lost this year.,HRES
N000192,117,2022-10-04,9138,Main Street Competes Act,HR
N000192,117,2022-05-31,7921,Trauma Informed Practices for Workforce Development Act,HR
N000192,117,2022-03-24,7219,GROW SISPS Act,HR
N000192,117,2022-03-18,7167,Matt Haller EtO Awareness Act,HR
N000192,117,2022-02-25,6849,Supporting All Veteran Families Act,HR
N000192,117,2021-11-18,814,Supporting the goals and principles of Transgender Day of Remembrance of memorializing the lives lost this year to antitransgender violence.,HRES
N000192,117,2021-11-04,5879,Hubzone Price Evaluation Preference Clarification Act of 2021,HR
N000192,117,2021-10-08,5531,Supporting Older Workers Act,HR
N000192,117,2021-09-14,642,"Expressing support for recognition of September 14, 2021, as the ""National Latino Small Business Day"".",HRES
N000192,117,2021-09-10,5235,Student Mental Health Helpline Act of 2021,HR
N000192,117,2021-08-13,5026,Panama Canal Zone Veterans Act of 2021,HR
N000192,117,2021-07-29,4844,504 Program Level Flexibility Act,HR
N000192,117,2021-07-29,4843,Assisting School Mental Health Professionals Through Work Study Act of 2021,HR
N000192,117,2021-06-25,4182,Extinction Crisis Emergency Act of 2021,HR
N000192,117,2021-06-04,3726,"To amend title 49, United States Code, to establish a Center of Excellence to advance rail research and development.",HR
N000192,117,2021-06-04,3725,REST Act,HR
N000192,117,2021-05-18,3317,ASAP Act of 2021,HR
N000192,117,2021-04-12,2451,America's Clean Future Fund Act,HR
N000192,117,2021-04-12,2449,To amend the CARES Act to extend the waiver of matching funds requirement under the women's business center program.,HR
N000192,117,2021-04-12,2450,To amend the Internal Revenue Code of 1986 to except certain individuals from the 80 percent taxable income limitation on net operating loss carryovers.,HR
M001186,117,2022-09-29,9066,Retirement Savings Modernization Act,HR
M001186,117,2022-08-30,1328,"Requesting the President, and directing the Secretary of Homeland Security, to transmit to the House of Representatives copies of all documents in their possession referring or relating to certain aspects of border policies of the United States.",HRES
