bioguide_id,congress,introduced_date,number,title,type
S001197,117,2022-07-21,715,A resolution expressing the sense of the Senate on the value of a tax agreement with Taiwan,SRES
S001197,117,2022-02-01,3550,Ethics Reform Act,S
S001197,117,2022-09-29,,,
S001197,117,2022-09-29,,,
S001197,117,2022-09-29,,,
S001197,117,2021-05-11,1557,National Signing Bonus Act of 2021,S
S001197,117,2021-06-17,2099,Health Savings Account Expansion Act of 2021,S
S001197,117,2022-01-18,3516,Increase Access to COVID Testing Act,S
S001197,117,2021-06-22,2171,"A bill to prohibit Presidential appointees from subsequently acting on behalf of the Government of the People's Republic of China, the Chinese Communist Party, and Chinese military companies.",S
S001197,115,2018-12-19,3788,"A bill to require studies on cyberexploitation of employees of certain Federal departments and their families, and for other purposes.",S
S001197,115,2018-12-21,3805,Malicious Deep Fake Prohibition Act of 2018,S
S001197,116,2019-05-07,1348,"A bill to require the Secretary of Defense to conduct a study on cyberexploitation of members of the Armed Forces and their families, and for other purposes.",S
S001197,115,2018-12-19,3786,"A bill to require the Secretary of Defense to conduct a study on cyberexploitation of members of the Armed Forces and their families, and for other purposes.",S
S001197,117,2021-06-24,2303,Democracy in Hong Kong Congressional Gold Medal Act,S
S001197,117,2021-11-04,3191,Everyday Philanthropist Act,S
S001197,117,2021-11-04,,,
S001197,114,2016-09-14,,,
S001197,114,2016-09-14,,,
S001197,114,2016-09-20,,,
S001197,114,2016-09-13,,,
S001197,114,2016-09-13,,,
S001197,114,2016-09-13,,,
S001197,114,2016-09-12,,,
S001197,114,2016-09-12,,,
S001197,114,2016-09-12,,,
S001197,114,2016-09-12,,,
S001197,114,2016-09-12,,,
S001197,114,2016-09-12,,,
S001197,114,2016-07-06,,,
S001197,114,2016-06-21,,,
S001197,114,2016-06-21,,,
S001197,114,2016-06-21,,,
S001197,114,2016-06-21,,,
S001197,114,2016-06-21,,,
S001197,114,2016-06-21,,,
S001197,114,2016-06-21,,,
S001197,114,2016-06-21,,,
S001197,114,2016-06-09,,,
S001197,114,2016-05-18,,,
S001197,114,2016-04-14,,,
S001197,114,2016-04-14,,,
S001197,114,2016-04-14,,,
S001197,114,2016-04-14,,,
S001197,114,2016-04-14,,,
S001197,114,2016-04-13,,,
S001197,114,2016-04-07,,,
S001197,114,2015-12-03,,,
S001197,114,2015-12-03,,,
S001197,114,2015-12-03,,,
S001197,114,2015-12-03,,,
S001197,114,2015-10-06,,,
S001197,114,2015-03-26,,,
S001197,114,2015-02-27,,,
S001197,114,2016-11-17,3481,HHS Slush Fund Elimination Act,S
S001197,114,2016-11-17,3480,Secure Citizenship Act of 2016,S
S001197,114,2016-09-12,3311,CO-OP Consumer Protection Act of 2016,S
S001197,114,2016-04-25,2849,GAO Access and Oversight Act of 2016,S
S001197,114,2016-04-14,2803,Taxpayers Before Insurers Act,S
S001197,114,2015-10-05,2128,Inspector General Mandates Reporting Act of 2015,S
S001197,114,2015-09-22,2066,Born-Alive Abortion Survivors Protection Act,S
S001197,114,2015-03-16,748,Amnesty Bonuses Elimination Act,S
S001197,114,2015-03-04,673,Winding Down ObamaCare Act,S
S001197,114,2016-03-14,33,"A concurrent resolution expressing the sense of Congress that those who commit or support atrocities against Christians and other ethnic and religious minorities, including Yezidis, Turkmen, Sabea-Mandeans, Kaka'e, and Kurds, and who target them specifically for ethnic or religious reasons, are committing, and are hereby declared to be committing, ""war crimes"", ""crimes against humanity"", and ""genocide"".",SCONRES
S001197,117,2021-05-26,,,
S001197,117,2021-05-26,,,
S001197,117,2021-05-26,,,
S001197,117,2021-05-25,,,
S001197,117,2021-05-25,,,
S001197,117,2021-05-25,,,
S001197,117,2021-05-20,,,
S001197,117,2021-05-20,,,
S001197,117,2021-05-19,,,
S001197,117,2021-05-19,,,
S001197,117,2021-05-18,,,
S001197,117,2021-05-17,,,
S001197,117,2021-03-04,,,
S001197,117,2021-03-04,,,
S001197,117,2021-03-04,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-02-03,,,
S001197,117,2021-06-22,2165,Education Savings Accounts for Military Families Act of 2021,S
S001197,117,2021-06-17,2113,Qualified Health Savings Account Distribution Act of 2021,S
S001197,117,2021-06-17,2098,Ending Qualifications that are Unjust for Access to Lifesaving Care Act,S
S001197,117,2021-01-28,123,Born-Alive Abortion Survivors Protection Act,S
S001197,115,2018-12-17,,,
S001197,115,2018-12-17,,,
S001197,115,2018-12-17,,,
S001197,115,2018-08-22,,,
S001197,115,2018-08-16,,,
S001197,115,2018-07-25,,,
S001197,115,2018-06-28,,,
S001197,115,2018-06-28,,,
S001197,115,2018-06-26,,,
S001197,115,2018-06-13,,,
S001197,115,2018-06-13,,,
S001197,115,2018-03-08,,,
S001197,115,2018-03-08,,,
S001197,115,2018-03-08,,,
S001197,115,2017-12-01,,,
S001197,115,2017-12-01,,,
S001197,115,2017-09-13,,,
S001197,115,2017-07-27,,,
S001197,115,2017-07-27,,,
S001197,115,2017-07-27,,,
S001197,115,2017-07-27,,,
S001197,115,2017-06-08,,,
S001197,115,2017-06-08,,,
S001197,115,2018-09-18,3473,Qualified Health Savings Account Distribution Act of 2018,S
S001197,115,2018-09-17,3451,Congressional Anti-Corruption Act,S
S001197,115,2018-09-17,3453,Congressional Workplace Misconduct Accountability Act,S
S001197,115,2018-09-17,3452,Cabinet Service Integrity Act,S
S001197,115,2018-09-17,3454,Congressional Revolving Door Ban Act,S
S001197,115,2018-09-17,3450,Presidential Tax Transparency Act,S
S001197,115,2018-06-28,3182,DHS Industrial Control Systems Capabilities Enhancement Act of 2018,S
S001197,115,2018-05-23,2938,Transporting Livestock Across America Safely Act,S
S001197,115,2018-03-07,2517,Military Education Savings Account Act of 2018,S
S001197,115,2017-01-24,220,Born-Alive Abortion Survivors Protection Act,S
S001197,115,2017-01-03,17,GAO Access and Oversight Act of 2017,S
S001197,115,2017-03-02,26,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.",SJRES
S001197,116,2020-07-20,,,
S001197,116,2020-06-29,,,
S001197,116,2020-06-29,,,
S001197,116,2020-06-29,,,
S001197,116,2020-06-29,,,
S001197,116,2020-06-29,,,
S001197,116,2020-06-29,,,
S001197,116,2020-03-23,,,
S001197,116,2020-03-23,,,
S001197,116,2020-03-25,,,
S001197,116,2020-03-23,,,
S001197,116,2020-03-23,,,
S001197,116,2020-03-24,,,
S001197,116,2019-06-24,,,
S001197,116,2019-06-24,,,
S001197,116,2019-06-20,,,
S001197,116,2019-06-19,,,
S001197,116,2019-06-19,,,
S001197,116,2019-06-19,,,
S001197,116,2019-06-19,,,
S001197,116,2019-06-13,,,
S001197,116,2019-01-30,,,
S001197,116,2019-01-30,,,
S001197,116,2019-01-30,,,
S001197,116,2019-01-30,,,
S001197,116,2019-01-30,,,
S001197,116,2020-06-04,3892,Hong Kong Victims of Communism Support Act,S
S001197,116,2020-05-06,3630,Facilitating Innovation to Fight Coronavirus Act,S
S001197,116,2020-05-06,3631,Relief for Rural Providers During Emergencies Act,S
S001197,116,2019-04-30,1255,Transporting Livestock Across America Safely Act,S
S001197,116,2019-03-27,909,Separation of Powers Restoration Act,S
S001197,116,2019-03-07,695,Education Savings Accounts for Military Families Act of 2019,S
S001197,116,2019-01-31,311,"A bill to amend title 18, United States Code, to prohibit a health care practitioner from failing to exercise the proper degree of care in the case of a child who survives an abortion or attempted abortion.",S
S001197,116,2019-01-15,130,Born-Alive Abortion Survivors Protection Act,S
S001197,116,2019-10-16,58,A joint resolution expressing support for freedom of conscience.,SJRES
S001197,116,2019-01-16,19,A resolution expressing the sense of the Senate that disqualifying a nominee to Federal office on the basis of membership in the Knights of Columbus violates the Constitution of the United States,SRES
S001197,116,2020-05-05,3601,EQUAL Care Act,S
S001197,116,2019-08-01,2440,Qualified Health Savings Account Distribution Act of 2019,S
S001197,116,2019-08-01,2441,Health Savings Account Expansion Act of 2019,S
S001197,116,2019-06-19,1910,"A bill to rename the Homestead National Monument of America near Beatrice, Nebraska, as the Homestead National Historical Park.",S
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-10,,,
S001197,117,2021-08-09,,,
K000386,117,2022-12-20,9625,Aviation Security Checkpoint Technology Fund Act of 2022,HR
K000386,117,2022-04-28,1073,Expressing support for the goals and ideals of National Child Abuse Prevention Month.,HRES
K000386,117,2022-03-24,7211,Small State and Rural Rescue Act,HR
K000386,117,2022-02-25,6827,Securing the Checkpoint Property Screening System (S-CPSS) Act of 2022,HR
K000386,117,2022-02-18,6776,Health Care Worker and First Responder Social Security Beneficiary Choice Act of 2022,HR
K000386,117,2022-02-15,6736,Countering Human Trafficking Act of 2022,HR
K000386,117,2022-02-11,6715,Bridging the Gap for New Americans Act,HR
K000386,117,2022-02-07,6629,Informed Lawmaking to Combat Inflation Act,HR
K000386,117,2021-11-12,5956,National Security Council Membership Act of 2021,HR
K000386,117,2021-11-04,5869,Mary Jo Lawyer Spano Mesothelioma Patient Registry Act of 2021,HR
K000386,117,2021-11-01,5797,SERVE Our Communities Act,HR
K000386,117,2021-10-22,5681,Shadow Wolves Enhancement Act,HR
K000386,117,2021-07-29,4828,Border Security for America Act of 2021,HR
K000386,117,2021-07-20,4566,Tick Identification Pilot Program Act of 2021,HR
K000386,117,2021-07-16,4459,Stop the Importation and Manufacturing of Synthetic Analogues Act of 2021,HR
K000386,117,2021-10-05,5491,Securing Systemically Important Critical Infrastructure Act,HR
K000386,117,2021-09-10,5230,9/11 Memorial and Museum Act,HR
K000386,117,2021-07-28,4769,Onward to Opportunity Act,HR
K000386,117,2021-06-25,4179,Improving Opportunities for New Americans Act of 2021,HR
K000386,117,2021-06-23,4094,One-Stop Pilot Program Act of 2021,HR
K000386,117,2021-06-04,3709,Preliminary Damage Assessment Improvement Act of 2021,HR
K000386,117,2021-05-28,3597,William Becker Promoting Careers in Aviation for America’s Veterans Act,HR
